x-axis SCL1 SDA1
second Volt Volt
+37.63500E-06 -44.53140499E-03 -170.35170E-06
+37.65000E-06 -44.53140497E-03 -1.13517581E-03
+37.66500E-06 -110.46105623E-03 -170.35170E-06
+37.68000E-06 -44.53140496E-03 -1.13517582E-03
+37.69500E-06 -44.53140497E-03 -1.13517581E-03
+37.71000E-06 -44.53140497E-03 -1.13517582E-03
+37.72500E-06 +21.39824627E-03 -1.13517581E-03
+37.74000E-06 -44.53140497E-03 -1.13517581E-03
+37.75500E-06 +21.39824629E-03 -170.35170E-06
+37.77000E-06 -110.46105622E-03 -1.13517581E-03
+37.78500E-06 +21.39824629E-03 -170.35170E-06
+37.80000E-06 -44.53140499E-03 -170.35170E-06
+37.81500E-06 +21.39824627E-03 -1.13517581E-03
+37.83000E-06 -110.46105623E-03 -170.35170E-06
+37.84500E-06 -44.53140497E-03 -1.13517581E-03
+37.86000E-06 -44.53140497E-03 -170.35170E-06
+37.87500E-06 -44.53140499E-03 -1.13517581E-03
+37.89000E-06 -44.53140497E-03 -1.13517581E-03
+37.90500E-06 -110.46105623E-03 -2.09999992E-03
+37.92000E-06 -44.53140496E-03 -1.13517581E-03
+37.93500E-06 -110.46105625E-03 -1.13517581E-03
+37.95000E-06 +21.39824629E-03 -1.13517581E-03
+37.96500E-06 -110.46105623E-03 -170.35170E-06
+37.98000E-06 -44.53140497E-03 -1.13517581E-03
+37.99500E-06 -110.46105623E-03 +794.47241E-06
+38.01000E-06 -44.53140497E-03 -170.35170E-06
+38.02500E-06 -44.53140497E-03 +794.47241E-06
+38.04000E-06 -44.53140497E-03 -1.13517582E-03
+38.05500E-06 +21.39824629E-03 -170.35170E-06
+38.07000E-06 -110.46105623E-03 -2.09999992E-03
+38.08500E-06 -44.53140496E-03 -1.13517582E-03
+38.10000E-06 -110.46105623E-03 -1.13517581E-03
+38.11500E-06 -44.53140497E-03 -170.35170E-06
+38.13000E-06 -44.53140499E-03 -170.35170E-06
+38.14500E-06 -44.53140497E-03 -170.35171E-06
+38.16000E-06 -44.53140497E-03 -170.35170E-06
+38.17500E-06 -44.53140499E-03 -2.09999992E-03
+38.19000E-06 -44.53140497E-03 -170.35170E-06
+38.20500E-06 -110.46105623E-03 -1.13517581E-03
+38.22000E-06 -44.53140497E-03 -1.13517581E-03
+38.23500E-06 -176.39070748E-03 -170.35170E-06
+38.25000E-06 +21.39824629E-03 -1.13517582E-03
+38.26500E-06 -176.39070748E-03 -170.35170E-06
+38.28000E-06 +21.39824629E-03 -1.13517582E-03
+38.29500E-06 -110.46105622E-03 -1.13517581E-03
+38.31000E-06 +21.39824629E-03 -1.13517581E-03
+38.32500E-06 -110.46105622E-03 +794.47241E-06
+38.34000E-06 -110.46105623E-03 -1.13517581E-03
+38.35500E-06 +21.39824629E-03 -170.35170E-06
+38.37000E-06 -110.46105622E-03 -1.13517581E-03
+38.38500E-06 +87.32789753E-03 +794.47241E-06
+38.40000E-06 -110.46105623E-03 -170.35170E-06
+38.41500E-06 +21.39824629E-03 -1.13517581E-03
+38.43000E-06 -110.46105625E-03 -170.35170E-06
+38.44500E-06 +21.39824629E-03 -1.13517581E-03
+38.46000E-06 -110.46105622E-03 -170.35170E-06
+38.47500E-06 -44.53140497E-03 -170.35170E-06
+38.49000E-06 -110.46105622E-03 -170.35170E-06
+38.50500E-06 -110.46105621E-03 -1.13517582E-03
+38.52000E-06 +21.39824629E-03 -170.35170E-06
+38.53500E-06 -110.46105623E-03 -1.13517581E-03
+38.55000E-06 +21.39824629E-03 -1.13517581E-03
+38.56500E-06 -110.46105625E-03 -1.13517581E-03
+38.58000E-06 +87.32789755E-03 -170.35170E-06
+38.59500E-06 -110.46105623E-03 -170.35170E-06
+38.61000E-06 -44.53140497E-03 -170.35170E-06
+38.62500E-06 -176.39070746E-03 +794.47241E-06
+38.64000E-06 -44.53140495E-03 -1.13517582E-03
+38.65500E-06 -44.53140497E-03 -1.13517581E-03
+38.67000E-06 -110.46105623E-03 -2.09999992E-03
+38.68500E-06 -44.53140495E-03 -170.35170E-06
+38.70000E-06 -44.53140499E-03 -2.09999992E-03
+38.71500E-06 +87.32789755E-03 -170.35170E-06
+38.73000E-06 -176.39070747E-03 -1.13517581E-03
+38.74500E-06 +21.39824633E-03 -170.35170E-06
+38.76000E-06 -110.46105625E-03 -1.13517581E-03
+38.77500E-06 +21.39824629E-03 -2.09999992E-03
+38.79000E-06 -110.46105623E-03 -170.35170E-06
+38.80500E-06 -44.53140497E-03 -1.13517581E-03
+38.82000E-06 -44.53140497E-03 +794.47241E-06
+38.83500E-06 -110.46105623E-03 -1.13517581E-03
+38.85000E-06 -44.53140495E-03 +794.47241E-06
+38.86500E-06 -176.39070749E-03 -1.13517581E-03
+38.88000E-06 +21.39824629E-03 -1.13517581E-03
+38.89500E-06 -176.39070747E-03 -1.13517581E-03
+38.91000E-06 +87.32789755E-03 -170.35170E-06
+38.92500E-06 -110.46105623E-03 -170.35170E-06
+38.94000E-06 +87.32789755E-03 -2.09999992E-03
+38.95500E-06 -110.46105623E-03 -170.35170E-06
+38.97000E-06 -44.53140497E-03 -2.09999992E-03
+38.98500E-06 -44.53140497E-03 +794.47241E-06
+39.00000E-06 -44.53140497E-03 -1.13517582E-03
+39.01500E-06 +21.39824629E-03 -170.35170E-06
+39.03000E-06 -176.39070747E-03 -1.13517581E-03
+39.04500E-06 +87.32789755E-03 -170.35170E-06
+39.06000E-06 -176.39070749E-03 -1.13517581E-03
+39.07500E-06 +87.32789755E-03 -170.35170E-06
+39.09000E-06 -176.39070749E-03 +794.47241E-06
+39.10500E-06 +21.39824627E-03 -2.09999992E-03
+39.12000E-06 -110.46105621E-03 +794.47241E-06
+39.13500E-06 -44.53140497E-03 -2.09999993E-03
+39.15000E-06 +21.39824627E-03 +794.47241E-06
+39.16500E-06 -110.46105625E-03 -2.09999993E-03
+39.18000E-06 +21.39824629E-03 +794.47241E-06
+39.19500E-06 -176.39070749E-03 -170.35170E-06
+39.21000E-06 +21.39824633E-03 -170.35170E-06
+39.22500E-06 -176.39070749E-03 -170.35170E-06
+39.24000E-06 +153.25754879E-03 -1.13517582E-03
+39.25500E-06 -176.39070747E-03 -170.35170E-06
